investor_id,name,age,investment_amount
1090,"Joseph Tucker",66,438320.91
1091,"Albert Smith",42,54703.64
1092,"Christopher Miller",60,836712.65
1093,"Heather Collins",54,980581.62
1094,"Christine Mays",27,848918.4
1095,"Jessica Small",30,636046.8
1096,"Michelle Gray",60,958119.73
1097,"Amanda Lewis",53,547931.21
1098,"Allison Lopez MD",31,338680.9
1099,"Jim Craig",25,179294.62
1100,"Gregory Woods",49,739966.88
1101,"Jack Stanley",39,376008.42
1102,"Mr. Luis Bush",68,807594.61
1103,"Sarah Bailey",57,670361.89
1104,"Dean Gill",46,674707.59
1105,"Donna Davis",26,861561.13
1106,"Rachel Riley",26,506634.27
1107,"Rebecca Valenzuela",35,730200.17
1108,"Cynthia Thompson",29,952491.61
1109,"Eddie Farley",36,800925.2
1110,"Ryan Obrien",35,366654.12
1111,"Joshua Esparza",31,108697.47
1112,"Terrance Newman",34,570096.99
1113,"Todd Weber",70,149318.1
1114,"Justin Scott",42,608174.13
1115,"Megan Mata",26,879015.12
1116,"Jaime Moreno",50,927682.55
1117,"Robert Martin",64,769668.77
1118,"Lisa Williams",28,250257.97
1119,"Kristie Mejia",38,409876.03
1120,"Dylan Rios",52,482936.89
1121,"Lauren Thompson",69,981630.12
1122,"Megan Cabrera",58,432904.94
1123,"Christina Roman",70,464179.28
1124,"Scott Smith",55,591684.39
1125,"Jeffrey Cohen",70,263848.02
1126,"Thomas Johnson",70,407931.11
1127,"Darin Johnson",48,957607.03
1128,"Catherine Johnson",58,431083.09
1129,"Stephanie Bradford",62,771694.29
1130,"Robert Hansen",26,996936.84
1131,"Shannon Mendoza",29,211390.16
1132,"Robert Rodriguez",65,319118.45
1133,"Daniel Clark",59,488497.43
1134,"Robert Gray",63,287811.95
1135,"Roger Kim",26,493804.31
1136,"Dylan King",45,534387.07
1137,"Tonya Irwin",46,348084.76
1138,"Tracy Lopez",36,107111.02
1139,"Rachel Morrison",40,964352.48
1140,"Becky Fisher DDS",61,871356.67
1141,"Sonya Cooper",29,260248.24
1142,"Brittany Mitchell",39,107050.58
1143,"William Burke",60,598626.71
1144,"Nathaniel Brandt",42,386965.25
1145,"Erika Cobb",62,444270.64
1146,"Chelsea Knox",32,528780.98
1147,"Sheri Wilson",46,59988.32
1148,"Victoria Miller",29,269710.17
1149,"Ashley Bender",37,507841.94
1150,"Benjamin Acosta",61,145201.29
1151,"David Lloyd",69,75871.51
1152,"Jeffrey Kelley",56,421179.23
1153,"Laura Ponce",27,692354.72
1154,"Tony Griffin",37,714612.87
1155,"Joseph Foster",44,491989.09
1156,"David Shaffer",67,269112.72
1157,"Jon Johnson",69,203990.1
1158,"Hannah Nielsen",48,906749.8
1159,"Emma Acosta",42,428908.08
1160,"Melissa Mccarthy",70,384664.42
1161,"Robert Oneal",42,979072.3
1162,"Carol Jensen",28,288647.25
1163,"Morgan Blevins",61,618186.97
1164,"Jacob Carter",70,321060.81
1165,"Heather Glenn",34,700295.52
1166,"Rebecca Adams",28,938295.2
1167,"Evan White",60,580011.36
1168,"Aaron Hudson",44,342781.86
1169,"Michael Merritt",49,466138.65
1170,"Kyle Finley",40,512304.74
1171,"Terri Hernandez",45,201520.59
1172,"John Bell",68,972626.67
1173,"Cynthia Brewer",69,115685.16
1174,"Jose Simmons",34,321550.83
1175,"Lori Burns",25,706918.68
1176,"Rodney Ward",56,820168.23
1177,"Darrell Bailey",59,114386.86
1178,"Shannon Simpson",58,839471.75
1179,"Patricia Gray",56,868158.89
1180,"Melissa Olson",45,945721.46
1181,"Aaron Cole",65,64623.59
1182,"April Spears",37,552219.88
1183,"John Jackson",40,207219.18
1184,"Larry Shaw",25,483324.89
1185,"Teresa Nelson",40,956446.65
1186,"Robin Clements",48,818583.23
1187,"Julie Hernandez",70,853189.19
1188,"Lisa Richard",39,939625.68
1189,"Jennifer Warren",60,482789.38
1190,"Kirsten Lawson",42,579273.91
1191,"Matthew Bradley",42,512152.07
1192,"Brandon Brown",66,977987.46
1193,"Tyler Walker",46,71441.3
1194,"Steve Powell",42,194944.82
1195,"Kristina Edwards",26,196041.06
1196,"Pamela Lane",49,191854.62
1197,"Kyle Herrera",37,856032.23
1198,"Michael King",35,120446.69
1199,"Kathleen Nicholson",60,538808.32
1200,"Darlene Smith",47,992802.28
